match_id,league_id,start_time,patch_version,radiant_hero_ids,dire_hero_ids,radiant_account_ids,dire_account_ids,radiant_win,early_gold_delta_15,early_xp_delta_15,radiant_core_execution_synergy,dire_core_execution_synergy,pressure_team,pressure_retention_std,radiant_pos1_gpm,radiant_pos2_gpm,dire_pos1_gpm,dire_pos2_gpm
8613296700,18988,1766231942,59,"[145, 96, 28, 90, 37]","[66, 79, 2, 19, 72]","[1044002267, 56351509, 106573901, 164199202, 73401082]","[100594231, 155494381, 146711951, 324277900, 355168766]",1,38,397,0.8290910834822017,1.1735201523572623,,,752,602,666,402
8613407484,18988,1766236500,59,"[145, 110, 74, 114, 64]","[37, 79, 96, 52, 70]","[1044002267, 56351509, 106573901, 164199202, 73401082]","[100594231, 155494381, 146711951, 324277900, 355168766]",1,4404,1551,0.803578484638941,0.5633491814040462,radiant,7258.182258135138,828,732,581,517
8613524044,18988,1766241062,59,"[8, 45, 47, 131, 96]","[70, 74, 98, 50, 100]","[321580662, 108958769, 106305042, 847565596, 302214028]","[171262902, 312436974, 195108598, 93817671, 103735745]",0,-3449,-1697,1.0010451220066343,0.8989000591366055,,,655,584,676,685
8613669497,18988,1766245501,59,"[145, 131, 107, 71, 65]","[53, 106, 96, 85, 27]","[321580662, 108958769, 106305042, 847565596, 302214028]","[171262902, 312436974, 195108598, 93817671, 103735745]",0,-4686,-3929,1.0741898893283055,1.100936294781841,,,656,503,896,669
8613871238,18988,1766253306,59,"[145, 52, 29, 27, 37]","[49, 28, 74, 88, 87]","[898754153, 173978074, 129958758, 101695162, 94296097]","[1044002267, 56351509, 106573901, 164199202, 73401082]",0,4739,3002,0.861432744554935,0.7041469640540654,,,671,475,803,740
8613974929,18988,1766257981,59,"[94, 96, 19, 90, 103]","[145, 106, 2, 119, 37]","[1044002267, 56351509, 106573901, 164199202, 73401082]","[898754153, 173978074, 129958758, 101695162, 94296097]",1,7232,7037,0.948311112390935,1.0205973223480946,,,726,521,489,354
8614840952,18988,1766314605,59,"[10, 37, 74, 27, 28]","[109, 84, 39, 114, 68]","[321580662, 108958769, 106305042, 847565596, 302214028]","[1044002267, 56351509, 106573901, 164199202, 73401082]",1,233,-1617,1.0022350615782272,1.0978386454183267,,,814,774,885,565
8614983405,18988,1766320501,59,"[145, 98, 49, 19, 66]","[72, 27, 74, 62, 96]","[1044002267, 56351509, 106573901, 164199202, 73401082]","[321580662, 108958769, 106305042, 847565596, 302214028]",0,4143,1650,1.018759797944609,1.1521658084209054,,,510,581,798,763
8615212174,18988,1766328901,59,"[44, 37, 74, 100, 29]","[53, 49, 2, 30, 79]","[321580662, 108958769, 106305042, 847565596, 302214028]","[171262902, 312436974, 195108598, 93817671, 103735745]",1,525,-776,0.8942257348724725,0.9103399929898353,,,832,761,743,469
8615341751,18988,1766333161,59,"[145, 47, 29, 79, 27]","[10, 37, 53, 51, 137]","[171262902, 312436974, 195108598, 93817671, 103735745]","[321580662, 108958769, 106305042, 847565596, 302214028]",1,5861,4662,1.0355131608325685,0.861218667210108,radiant,5614.694805819814,729,673,634,538
8615442050,18988,1766337481,59,"[21, 103, 49, 79, 2]","[46, 19, 29, 64, 90]","[321580662, 108958769, 106305042, 847565596, 302214028]","[171262902, 312436974, 195108598, 93817671, 103735745]",0,-2106,-582,0.625686940413708,0.8876419934041774,,,491,421,671,507
8615531269,18988,1766341021,59,"[46, 19, 28, 66, 90]","[95, 87, 39, 79, 129]","[171262902, 312436974, 195108598, 93817671, 103735745]","[321580662, 108958769, 106305042, 847565596, 302214028]",1,-1201,426,0.8577059225986852,0.8304126739733798,radiant,5888.490257710504,815,594,617,457
8677196852,19290,1770206279,59,"[50, 95, 123, 108, 13]","[64, 126, 54, 101, 60]","[122817493, 320017600, 175311897, 383788462, 123023873]","[349310876, 72393079, 241519559, 115464954, 116249155]",1,-2022,2153,0.7395617601186367,0.9986409926048818,,,881,615,618,476
8677201827,19290,1770206373,59,"[70, 106, 101, 2, 131]","[28, 102, 108, 121, 64]","[202464276, 1673586483, 392385140, 143786911, 329076390]","[154715080, 97658618, 126212866, 241884166, 94155156]",0,-6037,-5432,1.1061899441340781,0.9591967747733867,,,372,389,588,501
8677261775,19290,1770209279,59,"[8, 13, 28, 97, 64]","[106, 95, 29, 131, 27]","[202464276, 1673586483, 143786911, 392385140, 329076390]","[154715080, 97658618, 126212866, 241884166, 94155156]",0,-1718,2383,0.8898124007605904,1.2681879576313357,dire,4547.767770116356,643,489,740,668
8677288942,19290,1770210517,59,"[110, 74, 56, 19, 96]","[37, 54, 123, 29, 47]","[349310876, 72393079, 241519559, 115464954, 116249155]","[122817493, 320017600, 175311897, 383788462, 123023873]",0,1837,-1395,1.4180481949540245,1.3125714221060611,,,741,615,768,649
8677484389,19290,1770218890,59,"[49, 15, 29, 64, 51]","[37, 19, 28, 44, 106]","[418942836, 111620041, 140297552, 101356886, 152168157]","[196400041, 219755398, 117514269, 458287006, 170809075]",0,1963,3655,1.1402499808296909,1.165791426980887,,,561,565,719,723
8677494117,19290,1770219128,59,"[136, 89, 65, 110, 39]","[21, 37, 108, 19, 11]","[1682179459, 96183976, 92487440, 1675898897, 223382342]","[124801257, 320219866, 126842529, 256156323, 210053851]",0,-6758,-9951,0.6308428190845241,0.688352934383,,,630,393,709,696
8677564756,19290,1770222258,59,"[19, 65, 15, 9, 95]","[44, 110, 137, 88, 11]","[1682179459, 223382342, 92487440, 1675898897, 96183976]","[124801257, 320219866, 126842529, 256156323, 210053851]",0,-1118,826,1.3428448201500907,1.1326130992572585,,,630,538,753,692
8677600320,19290,1770223897,59,"[102, 106, 15, 50, 71]","[68, 101, 10, 2, 49]","[418942836, 111620041, 140297552, 101356886, 152168157]","[196400041, 219755398, 458287006, 117514269, 170809075]",1,7545,5251,0.8721859847610252,0.6585440079994783,radiant,3716.7421878453033,742,604,524,456
8677674341,19290,1770227535,59,"[109, 106, 47, 110, 155]","[64, 19, 10, 129, 13]","[418942836, 111620041, 140297552, 101356886, 152168157]","[196400041, 219755398, 458287006, 117514269, 170809075]",0,-345,-1153,1.0954772843287393,0.851675765323751,dire,4397.264742789751,524,567,789,767
8678450147,19290,1770292686,59,"[13, 21, 108, 100, 64]","[37, 106, 8, 86, 155]","[154715080, 97658618, 126212866, 241884166, 94155156]","[349310876, 72393079, 241519559, 115464954, 116249155]",1,1107,2023,1.1630957193549836,1.3385657473568495,radiant,5602.814958742147,809,671,722,403
8678463732,19290,1770292820,59,"[54, 64, 123, 28, 36]","[44, 37, 155, 119, 49]","[320017600, 122817493, 175311897, 383788462, 123023873]","[124801257, 320219866, 126842529, 256156323, 210053851]",1,-289,-916,0.9788740122914837,0.8935162340866476,radiant,3462.2570228548448,751,740,549,502
8678468666,19290,1770293033,59,"[38, 13, 65, 106, 83]","[93, 17, 155, 64, 119]","[202464276, 1673586483, 143786911, 392385140, 329076390]","[418942836, 111620041, 140297552, 101356886, 152168157]",0,-1392,-263,1.1469930094190706,0.9256192404941941,,,568,560,536,803
8678554261,19290,1770297064,59,"[37, 106, 8, 119, 155]","[59, 21, 108, 19, 64]","[349310876, 72393079, 241519559, 115464954, 116249155]","[154715080, 97658618, 126212866, 241884166, 94155156]",1,101,-2314,0.9929553480201481,1.0919185687847008,,,757,465,465,479
8678554665,19290,1770297081,59,"[87, 72, 100, 28, 35]","[49, 110, 137, 19, 47]","[122817493, 320017600, 175311897, 383788462, 123023873]","[124801257, 320219866, 126842529, 256156323, 210053851]",0,167,-596,1.1526666104979357,1.0415927018797833,,,785,584,748,568
8678559674,19290,1770297305,59,"[11, 17, 77, 89, 101]","[15, 106, 55, 100, 64]","[418942836, 111620041, 140297552, 101356886, 152168157]","[202464276, 1673586483, 143786911, 392385140, 329076390]",1,8379,10111,0.8179634115121798,0.8253603085459097,,,751,658,404,398
8678617868,19290,1770300271,59,"[64, 106, 102, 119, 38]","[28, 57, 108, 101, 37]","[349310876, 72393079, 241519559, 115464954, 116249155]","[154715080, 97658618, 126212866, 241884166, 94155156]",1,3864,1717,1.3009251178216095,1.2789730229431044,radiant,2088.209041259998,569,494,485,362
8678657524,19290,1770301529,59,"[37, 10, 119, 129, 35]","[49, 50, 155, 19, 47]","[122817493, 320017600, 175311897, 383788462, 123023873]","[124801257, 320219866, 126842529, 256156323, 210053851]",0,-3152,-7509,0.7905887478895485,0.7575580118585755,dire,1799.633481202955,542,458,736,615
8678742616,19290,1770305327,59,"[110, 74, 38, 100, 33]","[58, 63, 96, 79, 47]","[349310876, 72393079, 241519559, 115464954, 116249155]","[1675898897, 96183976, 92487440, 1682179459, 223382342]",1,2165,2895,1.1087893917779794,0.9093892904558194,,,701,511,622,506
8678753328,19290,1770305467,59,"[126, 138, 29, 79, 64]","[50, 19, 72, 98, 17]","[154715080, 97658618, 126212866, 241884166, 94155156]","[196400041, 219755398, 458287006, 117514269, 170809075]",1,4159,3259,0.8973229332177765,0.8097051715804736,radiant,6843.364390694355,862,557,549,450
