match_id,start_time,patch_version,radiant_win,radiant_first_pick,radiant_recent_winrate,dire_recent_winrate,radiant_winrate_advantage,radiant_synergy_score,dire_synergy_score,radiant_meta_score,dire_meta_score,r1_hero_winrate,r2_hero_winrate,r3_hero_winrate,r4_hero_winrate,r5_hero_winrate,d1_hero_winrate,d2_hero_winrate,d3_hero_winrate,d4_hero_winrate,d5_hero_winrate,radiant_basic_dispel_count,radiant_bkb_pierce_aoe_count,radiant_bkb_pierce_single_count,radiant_burst_damage_count,radiant_early_rosh_armor_count,radiant_early_rosh_solo_count,radiant_elusive_count,radiant_forced_reposition_enemy_count,radiant_global_mobility_count,radiant_hard_save_count,radiant_initiation_count,radiant_invisibility_count,radiant_lane_dominator_count,radiant_late_game_scaling_count,radiant_mass_heal_count,radiant_pseudo_root_count,radiant_push_cooldown_count,radiant_push_poke_count,radiant_push_zoo_count,radiant_reposition_save_count,radiant_strong_dispel_count,radiant_vision_scouting_count,radiant_waveclear_count,dire_basic_dispel_count,dire_bkb_pierce_aoe_count,dire_bkb_pierce_single_count,dire_burst_damage_count,dire_early_rosh_armor_count,dire_early_rosh_solo_count,dire_elusive_count,dire_forced_reposition_enemy_count,dire_global_mobility_count,dire_hard_save_count,dire_initiation_count,dire_invisibility_count,dire_lane_dominator_count,dire_late_game_scaling_count,dire_mass_heal_count,dire_pseudo_root_count,dire_push_cooldown_count,dire_push_poke_count,dire_push_zoo_count,dire_reposition_save_count,dire_strong_dispel_count,dire_vision_scouting_count,dire_waveclear_count
8613669497,1766245501,59,0,0,0.8,0.7143,0.0857,3,2,0.5767,0.51,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.5,1.0,1,0,3,3,0,0,4,0,1,4,4,1,2,1,0,1,0,0,0,1,0,1,4,0,0,0,2,0,0,5,0,1,3,4,0,3,0,0,1,1,0,1,0,1,0,5
8613871238,1766253306,59,0,1,0.6667,0.5714,0.0953,3,2,0.5917,0.3467,1.0,0.5,1.0,0.5,0.6667,0.5,0.0,1.0,0.0,0.0,0,1,1,2,0,0,4,0,0,2,4,1,3,2,0,2,2,0,1,0,2,0,5,0,0,0,2,2,0,3,1,0,0,5,2,5,1,0,2,0,1,0,0,0,3,3
8613974929,1766257981,59,1,0,0.625,0.5714,0.0536,3,3,0.4467,0.5504,0.5,1.0,0.5,0.5,0.5,0.6667,0.5,0.5,1.0,0.5,0,1,0,1,1,0,3,2,0,1,4,0,3,2,1,3,0,0,0,0,0,1,4,0,2,1,3,0,0,2,1,0,2,5,1,4,2,0,1,1,0,1,0,0,0,4
8614840952,1766314605,59,1,1,0.6667,0.6667,0.0,3,2,0.66,0.6,0.5,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0,1,0,1,2,0,4,0,0,2,5,1,4,1,0,3,2,0,1,0,1,2,5,0,0,0,2,0,0,3,0,0,0,3,0,5,3,1,0,1,0,0,0,0,1,4
8614983405,1766320501,59,0,1,0.6,0.7143,-0.1143,3,3,0.4877,0.5933,0.6667,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0,0,1,2,0,0,2,1,0,1,4,1,4,1,1,1,0,2,1,0,0,1,4,0,0,0,2,1,0,4,0,0,2,4,2,3,1,0,2,1,0,0,0,1,2,4
8615212174,1766328901,59,1,1,0.75,0.75,0.0,3,3,0.6234,0.3617,0.5,1.0,1.0,0.5,0.5,1.0,0.0,1.0,0.0,1.0,0,1,0,2,1,0,4,0,0,1,5,2,4,3,0,2,1,0,1,1,1,2,3,0,1,0,4,0,0,2,0,1,1,5,0,5,1,1,0,0,1,1,0,1,0,4
8615341751,1766333161,59,1,0,0.6667,0.7778,-0.1111,3,3,0.5853,0.7524,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0,0,1,3,1,0,5,0,0,3,5,1,3,2,0,2,1,1,0,0,3,0,5,0,1,1,1,0,0,3,0,1,1,5,0,5,1,0,2,1,0,2,0,0,1,4
8615442050,1766337481,59,0,1,0.7,0.7,0.0,3,1,0.5743,0.5834,1.0,0.5,0.5,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0,1,0,3,1,0,2,1,0,2,5,0,4,2,0,1,0,2,0,0,1,1,4,0,0,0,0,0,1,3,2,0,0,4,1,5,1,1,2,0,1,0,0,1,1,5
8615531269,1766341021,59,1,1,0.7273,0.6364,0.0909,1,3,0.6566,0.65,1.0,1.0,0.5,1.0,1.0,0.5,0.5,0.5,0.5,1.0,0,0,0,0,1,1,3,2,0,0,3,1,5,1,2,2,0,0,1,0,0,3,4,0,0,0,2,0,1,3,2,0,2,4,0,4,4,1,1,0,0,0,0,1,0,3
8677196852,1770206279,59,1,0,,,,3,3,0.45,0.5762,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,1,0,1,0,1,3,0,1,3,3,1,5,2,0,1,0,0,0,1,0,1,2,1,0,0,2,0,0,3,0,0,1,4,0,5,2,1,1,0,1,0,1,1,0,2
